key,value,year,category,latitude,longitude,country
Niamey,27,2022,loc,13.524834,2.109823,Niger
Burundi,24,2022,loc,-3.426449,29.9324519,Burundi
stade Education City,4,2022,loc,25.31085325,51.42444765904781,Qatar
Al Rayyan,1,2022,loc,24.9304741,50.9776887766882,Qatar
Baltique,11,2022,loc,56.0,18.0,Baltic Sea
chantier naval du Nord,3,2022,loc,48.7825237,-3.040988,France
Saint-Pétersbourg,61,2022,loc,59.9606739,30.1586551,Russia
Kalibr,4,2022,loc,55.14810475,61.371655857881606,Russia
Oniks,2,2022,loc,41.351414250000005,69.24680749999999,Uzbekistan
Donbass,276,2022,loc,40.5928159,71.8919178,Uzbekistan
Cameroun Cameroun,6,2022,loc,4.6125522,13.1535811,Cameroon
Nati,1,2022,loc,14.534218,45.584955,Yemen
Seleçao,1,2022,loc,50.8432281,4.3862932,Belgium
République islamique iranienne,1,2022,loc,50.81260645,4.3781515611266695,Belgium
not,1,2022,loc,38.14510465,-122.5582530562988,United States
hôpital du Mali,1,2022,loc,12.63464715,-7.910645203173583,Mali
Les,10,2022,loc,42.9112153,0.7001009619092323,France
hôtel Radisson,1,2022,loc,33.5934592,-7.60811,Morocco
Portugal,58,2022,loc,39.6621648,-8.1353519,Portugal
Krivoï Rog,7,2022,loc,47.9102734,33.3917703,Ukraine
Dniepropetrovsk,31,2022,loc,48.662589,34.9501715,Ukraine
Artiomovsk,6,2022,loc,54.349564,93.437813,Russia
Bakhmout,10,2022,loc,48.5894123,38.0020994,Ukraine
Oulianovsk,2,2022,loc,54.3150278,48.403373,Russia
Melitopol,18,2022,loc,46.8467267,35.3827281,Ukraine
Comores,5,2022,loc,-12.2045176,44.2832964,Comoros
pays du Golfe,8,2022,loc,46.47721837024112,-1.1158858729426486,France
océan Indien,12,2022,loc,-9.9999999,69.9999999,Indian Ocean
Masisi,2,2022,loc,-1.4272996999999998,28.906561712593536,Democratic Republic of the Congo
RDC,2,2022,loc,-2.9814344,23.8222636,Democratic Republic of the Congo
Sud-Kivu,7,2022,loc,-3.29689585,28.16740076336677,Democratic Republic of the Congo
Akatsiya,1,2022,loc,43.21969225,27.9281153,Bulgaria
comté de Montgomery,2,2022,loc,39.2282432,-84.3539662,United States
Maryland,3,2022,loc,39.5162401,-76.9382069,United States
Pepco,1,2022,loc,51.77436415,20.27055919588513,Poland
Montgomery County,1,2022,loc,30.301949,-95.5065944,United States
Montgomery,1,2022,loc,32.37742,-86.3091683,United States
Ischia,6,2022,loc,40.734205,13.947125,Italy
Naples,8,2022,loc,40.8358846,14.2487679,Italy
Casamicciola,2,2022,loc,43.6992096,11.8032677,Italy
Capri,1,2022,loc,40.5488429,14.228370814497762,Italy
scava,1,2022,loc,45.8917903,10.7734913,Italy
Bondhere,1,2022,loc,2.0448701,45.34330478027559,Somalia
CRTV,1,2022,loc,37.335962,-121.8886517,United States
Damas,33,2022,loc,33.5130695,36.3095814,Syria
Bourse,4,2022,loc,48.8686539,2.3414383,France
gare de Bruxelles- Midi,1,2022,loc,50.8360022,4.3368441,Belgium
bruxelle,1,2022,loc,43.8322518,4.3763989500000005,France
maroc,1,2022,loc,28.3347722,-10.371337908392649,Morocco
Beekkant,1,2022,loc,50.8534442,4.3229722,Belgium
Sainte-Catherine,1,2022,loc,50.304864,2.763456,France
Gare Centrale,1,2022,loc,48.5849738,7.7351989,France
Champs-Elysées,2,2022,loc,48.8707573,2.3053312,France
Taïwan,194,2022,loc,23.9739374,120.9820179,Taiwan
Californie,23,2022,loc,36.7014631,-118.755997,United States
paris,1,2022,loc,48.8588897,2.3200410217200766,France
